tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Travel,Travel_keywords,Terrorism,Terrorism_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Education,Education_keywords,Health,Health_keywords,Sports,Sports_keywords,Lifestyle,Lifestyle_keywords,Politics,Politics_keywords,Economy,Economy_keywords,Entertainment,Entertainment_keywords,Religion,Religion_keywords,Stock Exchange,Stock Exchange_keywords,Courthouse types stories,Courthouse types stories_keywords,City Hall types stories,City Hall types stories_keywords,Business,Business_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,2nd Amendment,2nd Amendment_keywords,Russian Sphere,Russian Sphere_keywords,Immigration,Immigration_keywords,Race,Race_keywords,State House types stories,State House types stories_keywords,Abortion,Abortion_keywords,Science,Science_keywords,Technology,Technology_keywords
810649439425662976,2630842499,San Diego Daily,2016-12-19 00:54:00,1.0,"('car',)",,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811309306968739840,2495567768,San Francisco Daily,2016-12-20 20:36:00,0.0,(),,,,,0.0,(),0.0,(),,,1.0,"('thanksgiving',)",,,2.0,"('bacteria', 'death')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812362485596569600,2753146444,Cleveland Online,2016-12-23 18:21:00,0.0,(),,,,,0.0,(),0.0,(),1.0,"('violence',)",0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812492546656059392,2753211010,Phoenix Daily News,2016-12-24 02:58:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813127278372749312,2630842499,San Diego Daily,2016-12-25 21:00:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),,,,,,,1.0,"('run',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812339838829608960,2743327187,Washington Online,2016-12-23 16:51:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812187549464666112,2620614029,Philadelphia Online,2016-12-23 06:46:00,0.0,(),,,,,2.0,"('rain', 'weather')",1.0,"('weather',)",,,,,,,,,,,,,,,,,1.0,"('nbc',)",1.0,"('holiday',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
811869248591200256,2752677905,New York City Today,2016-12-22 09:41:00,0.0,(),,,,,0.0,(),0.0,(),1.0,"('penalty',)",,,,,2.0,"('death', 'sex')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811742137612177408,2547141851,Chicago Daily News,2016-12-22 01:16:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,1.0,"('holiday',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
811356623918825472,2628066159,Houston Top News,2016-12-20 23:44:00,0.0,(),,,,,0.0,(),0.0,(),1.0,"('police',)",,,,,,,,,,,,,,,,,,,1.0,"('short',)",,,,,,,,,,,,,,,,,,,,,,,,,,
812183269919903744,2495567768,San Francisco Daily,2016-12-23 06:29:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('plea',)",,,,,,,,,,,,,,,,,,,,,,,,
811022592656207872,2630842499,San Diego Daily,2016-12-20 01:37:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812500850639863808,2675966513,Dallas Top News,2016-12-24 03:31:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811401148330549248,3074563039,St. Louis Online,2016-12-21 02:41:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),,,,,1.0,"('cdc',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812084939663560704,2620614029,Philadelphia Online,2016-12-22 23:58:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812510677525037056,2587843805,KansasCityDailyNews,2016-12-24 04:10:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,1.0,"('trump',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811330949464150016,2547141851,Chicago Daily News,2016-12-20 22:02:00,0.0,(),,,1.0,"('assassin',)",0.0,(),0.0,(),,,,,,,,,,,,,,,,,1.0,"('game',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811531704707977216,2753146444,Cleveland Online,2016-12-21 11:20:00,0.0,(),,,,,0.0,(),,,1.0,"('pardon',)",,,1.0,"('college',)",,,,,,,2.0,"('obama', 'trump')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811274318109966336,2601235821,Pittsburgh Today,2016-12-20 18:17:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),1.0,"('open',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812702216368848896,2570017414,Memphis Online,2016-12-24 16:51:00,1.0,"('hold',)",,,,,0.0,(),0.0,(),,,1.0,"('christmas',)",,,,,,,,,,,,,,,1.0,"('christmas',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
812145263276068864,2752677905,New York City Today,2016-12-23 03:58:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811098611387863040,2624554209,Los Angeles Daily,2016-12-20 06:39:00,0.0,(),,,,,,,,,2.0,"('law', 'violation')",,,,,,,,,,,,,2.0,"('finance', 'pay')",,,,,,,1.0,"('law',)",1.0,"('mayor',)",,,,,,,,,,,,,,,,,,,,,,
810860072364638208,2944944427,Miami Today,2016-12-19 14:51:00,0.0,(),,,,,0.0,(),0.0,(),1.0,"('police',)",,,,,,,,,,,,,,,,,1.0,"('holiday',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
810815490071429120,3071479646,Baltimore Online,2016-12-19 11:54:00,0.0,(),,,,,,,,,,,,,1.0,"('degree',)",,,,,,,,,2.0,"('business', 'market')",1.0,"('business',)",,,,,,,,,1.0,"('business',)",,,,,,,,,,,,,,,,,,,,
812391944777330688,2530830345,New Orleans Online,2016-12-23 20:18:00,0.0,(),,,,,0.0,(),0.0,(),1.0,"('police',)",,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('pizza',)",,,,,,,,,,,,,,,,,,
810941366511534080,3071479646,Baltimore Online,2016-12-19 20:14:00,0.0,(),,,,,0.0,(),0.0,(),,,,,,,,,,,1.0,"('book',)",,,,,,,1.0,"('holiday',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
811360905422405632,2743327187,Washington Online,2016-12-21 00:01:00,0.0,(),,,,,0.0,(),0.0,(),1.0,"('police',)",0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811919840004939776,2547141851,Chicago Daily News,2016-12-22 13:02:00,1.0,"('car',)",,,,,0.0,(),0.0,(),1.0,"('robbery',)",0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813079694664986624,2570017414,Memphis Online,2016-12-25 17:51:00,0.0,(),,,1.0,"('shoot',)",0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('nightclub',)",,,,,,,,,,,,,,,,,,
811994525602353152,2620614029,Philadelphia Online,2016-12-22 17:59:00,0.0,(),,,,,0.0,(),0.0,(),,,,,,,,,,,,,,,1.0,"('worker',)",,,,,,,,,,,2.0,"('manager', 'worker')",,,,,,,,,,,,,,,,,,,,
812366000000000000,2753338899,San Antonio Top News,2016-12-23 18:35:00,0.0,(),,,,,0.0,(),0.0,(),3.0,"('accuse', 'probation', 'violation')",,,,,,,,,,,,,,,,,,,,,1.0,"('probation',)",,,,,,,,,,,,,,,,,,,,,,,,
811178906195816448,2753146444,Cleveland Online,2016-12-20 11:58:00,0.0,(),,,,,0.0,(),0.0,(),1.0,"('police',)",0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812877911212642304,2577082467,Cincinnati Today,2016-12-25 04:29:00,0.0,(),,,,,,,,,1.0,"('party',)",1.0,"('party',)",,,,,,,1.0,"('party',)",,,,,,,1.0,"('holiday',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
811071424546897920,2944944427,Miami Today,2016-12-20 04:51:00,0.0,(),2.0,"('airport', 'hotel')",,,0.0,(),,,1.0,"('robbery',)",,,,,,,,,1.0,"('hotel',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812669000000000000,2495567768,San Francisco Daily,2016-12-24 14:39:00,0.0,(),1.0,"('flight',)",,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811196023532113920,2547141851,Chicago Daily News,2016-12-20 13:06:00,0.0,(),,,,,0.0,(),0.0,(),2.0,"('police', 'torture')",,,,,,,,,,,,,,,,,,,,,1.0,"('lawsuit',)",,,,,,,,,,,,,,,,,,,,,,,,
811809000000000000,2601235821,Pittsburgh Today,2016-12-22 05:42:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),,,1.0,"('school',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810947162272137216,2630842499,San Diego Daily,2016-12-19 20:37:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812061713604415488,2944944427,Miami Today,2016-12-22 22:26:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811975647815929856,2620614029,Philadelphia Online,2016-12-22 16:44:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812094420136980480,2591847731,Boston Today,2016-12-23 00:36:00,0.0,(),,,,,0.0,(),,,1.0,"('bail',)",,,1.0,"('school',)",,,,,,,,,,,,,,,,,1.0,"('bail',)",,,,,,,,,,,,,,,,,,,,,,,,
812100207743795200,2753338899,San Antonio Top News,2016-12-23 00:59:00,0.0,(),,,,,0.0,(),0.0,(),,,,,,,,,1.0,"('farm',)",,,,,1.0,"('advertising',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811337915603255296,2675966513,Dallas Top News,2016-12-20 22:30:00,1.0,"('vehicle',)",,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811108178771542016,2752677905,New York City Today,2016-12-20 07:17:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812422393234911232,2495567768,San Francisco Daily,2016-12-23 22:19:00,1.0,"('commute',)",,,,,0.0,(),0.0,(),1.0,"('pardon',)",0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
