tweetid,userid,user_display_name,tweet_time,Crime,Crime_keywords,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Events,Events_keywords,Politics,Politics_keywords,Lifestyle,Lifestyle_keywords,Technology,Technology_keywords,Science,Science_keywords,Health,Health_keywords,City Hall types stories,City Hall types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,2nd Amendment,2nd Amendment_keywords,Education,Education_keywords,Travel,Travel_keywords,Obituaries,Obituaries_keywords,Stock Exchange,Stock Exchange_keywords,Immigration,Immigration_keywords,Religion,Religion_keywords,Race,Race_keywords,Terrorism,Terrorism_keywords,Leisure,Leisure_keywords,Courthouse types stories,Courthouse types stories_keywords,Russian Sphere,Russian Sphere_keywords,State House types stories,State House types stories_keywords,Abortion,Abortion_keywords
721736859747885056,2928870434,Newspeak Daily,2016-04-17 16:27:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719973082069270528,2630842499,San Diego Daily,2016-04-12 19:38:00,,,0.0,(),0.0,(),,,,,2.0,"('clinton', 'politics')",,,,,,,,,1.0,"('mayor',)",,,,,1.0,"('comedy',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721443327699062784,2587843805,KansasCityDailyNews,2016-04-16 21:01:00,,,0.0,(),,,,,,,1.0,"('obama',)",,,,,,,,,,,,,1.0,"('drive',)",,,1.0,"('court',)",,,,,,,,,,,1.0,"('immigration',)",,,,,,,,,,,,,,,,
721347117113978880,2601235821,Pittsburgh Today,2016-04-16 14:38:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721178568437313536,2495567768,San Francisco Daily,2016-04-16 03:29:00,1.0,"('party',)",0.0,(),,,,,2.0,"('party', 'playoff')",,,1.0,"('party',)",,,,,,,,,,,,,,,1.0,"('playoff',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
721134025474084864,2495567768,San Francisco Daily,2016-04-16 00:32:00,0.0,(),0.0,(),0.0,(),0.0,(),,,2.0,"('gop', 'trump')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721837000000000000,2753211010,Phoenix Daily News,2016-04-17 23:04:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
719548088650588160,2587843805,KansasCityDailyNews,2016-04-11 15:30:00,2.0,"('homicide', 'police')",0.0,(),0.0,(),0.0,(),,,,,,,,,,,1.0,"('death',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720651947754151936,2495567768,San Francisco Daily,2016-04-14 16:36:00,0.0,(),0.0,(),0.0,(),0.0,(),,,2.0,"('politics', 'trump')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721524229187829760,2601235821,Pittsburgh Today,2016-04-17 02:22:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721416345653354496,2630842499,San Diego Daily,2016-04-16 19:13:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,2.0,"('retail', 'sale')",,,2.0,"('close', 'sport')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
720909742693031936,3899481526,Syria Today,2016-04-15 09:40:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719895389290106880,2495567768,San Francisco Daily,2016-04-12 14:30:00,1.0,"('arrest',)",0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720798830996815872,2587843805,KansasCityDailyNews,2016-04-15 02:20:00,,,0.0,(),0.0,(),0.0,(),,,1.0,"('trump',)",,,,,,,,,,,,,1.0,"('manager',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721010595965702144,2611151319,Seattle Post,2016-04-15 16:21:00,0.0,(),0.0,(),0.0,(),0.0,(),,,1.0,"('gop',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720747000000000000,2601235821,Pittsburgh Today,2016-04-14 22:55:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
721783823667580928,2495567768,San Francisco Daily,2016-04-17 19:34:00,1.0,"('arrest',)",1.0,"('vehicle',)",0.0,(),0.0,(),,,,,,,,,1.0,"('observe',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720717625135730688,3074563039,St. Louis Online,2016-04-14 20:57:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,2.0,"('hitter', 'sport')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
721212511278669824,2630842499,San Diego Daily,2016-04-16 05:43:00,,,0.0,(),0.0,(),,,,,1.0,"('politics',)",,,,,,,1.0,"('sex',)",,,,,1.0,"('sale',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719754681912729600,2630842499,San Diego Daily,2016-04-12 05:11:00,,,0.0,(),,,,,,,,,,,,,,,,,,,2.0,"('business', 'insurance')",2.0,"('business', 'ford')",1.0,"('business',)",,,,,1.0,"('test',)",,,,,,,,,,,,,,,,,,,,,,,,
721803193194131456,2611151319,Seattle Post,2016-04-17 20:51:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('mormon',)",,,,,,,,,,,,,,
719821468830281728,2587843805,KansasCityDailyNews,2016-04-12 09:36:00,0.0,(),0.0,(),1.0,"('rain',)",0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721048202917445632,2601235821,Pittsburgh Today,2016-04-15 18:51:00,0.0,(),0.0,(),0.0,(),1.0,"('wild',)",,,,,,,,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
721445108390866944,2928870434,Newspeak Daily,2016-04-16 21:08:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,2.0,"('health', 'virus')",1.0,"('report',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719598418226585600,2495567768,San Francisco Daily,2016-04-11 18:50:00,0.0,(),0.0,(),0.0,(),0.0,(),,,2.0,"('delegate', 'politics')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720019000000000000,2928870434,Newspeak Daily,2016-04-12 22:42:00,,,,,1.0,"('ice',)",,,,,2.0,"('clinton', 'politics')",,,,,1.0,"('matter',)",,,,,,,,,,,,,,,,,,,,,,,1.0,"('ice',)",,,1.0,"('black',)",,,,,,,,,,,,
720266164467675136,2484642526,Warfare Worldwide,2016-04-13 15:03:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('taliban',)",,,,,,,,,,
721174475295731712,2601235821,Pittsburgh Today,2016-04-16 03:12:00,,,0.0,(),0.0,(),,,,,,,1.0,"('entertainment',)",,,,,,,,,1.0,"('pay',)",,,2.0,"('cbs', 'entertainment')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720728181037117440,3074013672,Oakland Online,2016-04-14 21:39:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
720467005694992384,2495567768,San Francisco Daily,2016-04-14 04:21:00,1.0,"('accuse',)",0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,2.0,"('school', 'teacher')",,,,,,,,,,,,,,,,,,,,,,,,
720928159491760128,2587843805,KansasCityDailyNews,2016-04-15 10:54:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,1.0,"('meteorologist',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721024445645623296,2587843805,KansasCityDailyNews,2016-04-15 17:16:00,0.0,(),0.0,(),1.0,"('climate',)",0.0,(),,,1.0,"('politics',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719603280079245312,2495567768,San Francisco Daily,2016-04-11 19:09:00,1.0,"('robbery',)",0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721506586359803904,2495567768,San Francisco Daily,2016-04-17 01:12:00,0.0,(),0.0,(),1.0,"('earthquake',)",0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719763857850302464,2611151319,Seattle Post,2016-04-12 05:47:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
720841665456386048,2611151319,Seattle Post,2016-04-15 05:10:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720127000000000000,2495567768,San Francisco Daily,2016-04-13 05:50:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('run',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
721117081647755264,2587843805,KansasCityDailyNews,2016-04-15 23:24:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('tackle',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
720711891509579776,3074013672,Oakland Online,2016-04-14 20:34:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,1.0,"('question',)",,,,,,,2.0,"('coach', 'sport')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
719838471280394240,2587843805,KansasCityDailyNews,2016-04-12 10:44:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('court',)",,,1.0,"('school',)",,,,,,,,,,,,,,,,,,,,,,,,
720178819303247872,2587843805,KansasCityDailyNews,2016-04-13 09:16:00,0.0,(),0.0,(),2.0,"('rain', 'warm')",0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721019742358675456,3074563039,St. Louis Online,2016-04-15 16:57:00,,,0.0,(),,,,,,,,,,,,,,,,,,,4.0,"('business', 'opec', 'price', 'stock')",1.0,"('business',)",1.0,"('business',)",,,,,,,,,,,1.0,"('stock',)",,,,,,,,,,,,,,,,,,
720882253652320256,2601235821,Pittsburgh Today,2016-04-15 07:51:00,,,,,,,,,,,,,1.0,"('park',)",,,,,,,,,1.0,"('worker',)",1.0,"('worker',)",,,,,,,,,1.0,"('park',)",,,,,,,,,,,,,1.0,"('park',)",,,,,,,,
720010543054987264,2630842499,San Diego Daily,2016-04-12 22:07:00,3.0,"('accuse', 'arraignment', 'murder')",0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('arraignment',)",,,,,,
719360000000000000,2611151319,Seattle Post,2016-04-11 03:02:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721035999929704448,2630842499,San Diego Daily,2016-04-15 18:02:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720560089287884800,2601235821,Pittsburgh Today,2016-04-14 10:31:00,2.0,"('arrest', 'burglary')",0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,1.0,"('shop',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720238421407469568,2601235821,Pittsburgh Today,2016-04-13 13:13:00,0.0,(),0.0,(),0.0,(),0.0,(),,,1.0,"('trump',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720547995339522048,2611151319,Seattle Post,2016-04-14 09:43:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('lawyer',)",,,,,,
720002484668772352,2928870434,Newspeak Daily,2016-04-12 21:35:00,0.0,(),1.0,"('race',)",1.0,"('cloud',)",0.0,(),,,2.0,"('gop', 'politics')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721707589692731392,2495567768,San Francisco Daily,2016-04-17 14:31:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,1.0,"('death',)",1.0,"('report',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719315366875271168,2601235821,Pittsburgh Today,2016-04-11 00:05:00,,,0.0,(),0.0,(),0.0,(),,,,,1.0,"('entertainment',)",,,,,,,,,,,,,1.0,"('entertainment',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720777108960612352,2753211010,Phoenix Daily News,2016-04-15 00:53:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('golf',)",,,1.0,"('course',)",,,,,,,,,,,,,,,,,,,,,,,,
720206905478553600,2630842499,San Diego Daily,2016-04-13 11:08:00,0.0,(),0.0,(),0.0,(),0.0,(),,,2.0,"('politics', 'trump')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719575744544841728,2630842499,San Diego Daily,2016-04-11 17:20:00,0.0,(),1.0,"('race',)",0.0,(),0.0,(),,,1.0,"('politics',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719659000000000000,2494112058,San Jose Daily,2016-04-11 22:49:00,0.0,(),0.0,(),0.0,(),0.0,(),,,3.0,"('clinton', 'politics', 'trump')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721040058216632320,2611151319,Seattle Post,2016-04-15 18:18:00,,,0.0,(),0.0,(),,,,,,,1.0,"('entertainment',)",,,,,,,,,,,,,1.0,"('entertainment',)",1.0,"('american',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
719324517844189184,2611151319,Seattle Post,2016-04-11 00:41:00,1.0,"('prison',)",0.0,(),0.0,(),,,,,,,1.0,"('hunt',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('hunt',)",,,,,,,,
719373891890651136,2630842499,San Diego Daily,2016-04-11 03:57:00,,,,,,,,,,,,,,,1.0,"('box',)",,,,,,,1.0,"('business',)",1.0,"('business',)",1.0,"('business',)",1.0,"('box',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
721081306742792192,2494112058,San Jose Daily,2016-04-15 21:02:00,1.0,"('arrest',)",0.0,(),,,,,,,,,,,,,,,,,,,1.0,"('business',)",1.0,"('business',)",1.0,"('business',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720453606382694400,3899481526,Syria Today,2016-04-14 03:28:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719534800818712576,2591847731,Boston Today,2016-04-11 14:37:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,1.0,"('money',)",1.0,"('ceo',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719992000000000000,2611151319,Seattle Post,2016-04-12 20:54:00,,,0.0,(),0.0,(),0.0,(),,,1.0,"('gop',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('subpoena',)",,,,,,
720602544855121920,3074013672,Oakland Online,2016-04-14 13:20:00,,,0.0,(),,,,,,,,,,,,,1.0,"('energy',)",,,,,3.0,"('business', 'loan', 'profit')",2.0,"('business', 'fargo')",1.0,"('business',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
